Year,Month,State,District,Serial Number,Station Code,Station Name,DO (mg/L),pH,Conductivity (µS/cm),BOD (mg/L),Nitrate (mg/L),Turbidity (NTU),Chloride (mg/L),COD (mg/L),Ammonia  (mg/L),TDS (mg/L),Temperature,WQI Drinking,WQI Domestic,WQI Agriculture
2023,January,Telangana,Shamshabad,57.0,1172.0,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",6,8.21,470.0,2,1.1,1,66,16.0,0.4,296,25.0,38.2,49.84,100.0
2023,January,Telangana,Warangal Rural,58.0,1215.0,"Thummala cheruvu,  Nasampet (V&M), Warangal",5.8,8.44,382.0,2.4,0.84,6,50,21.0,0.4,236,25.0,34.05,43.96,79.09
2023,January,Telangana,Sangareddy,59.0,1780.0,"Gandigudem Tank, Gandigudem(V),Ameenpur(M), Sangareddy(D)",6.1,6.79,1504.0,7.2,28,8.3,255,80.0,0.4,920,25.0,12.91,34.28,41.76
2023,January,Telangana,Medchal Malkajgiri,60.0,2358.0,"Mallapur Tank , Medchal Malkajgiri",0.3,7.36,2702.0,14.4,5.2,8.5,344,141.0,3.84,1648,25.0,12.86,18.95,37.91
2023,January,Telangana,Sangareddy,61.0,2347.0,"Asani Kunta,Bollaram(V),Jinnaram(M), Sangareddy(D)",NIL,7.3,5840.0,48,52,54.9,1249,528.0,0.4,3790,25.0,14.18,14.22,14.27
2023,January,Telangana,Sangareddy,62.0,1783.0,"Kistareddypet Tank, Kistareddypet(V),Ameenpur(M),Sangareddy(D)",5.6,6.72,1581.0,7.4,32,8.5,249,82.0,0.4,1020,25.0,18.85,29.84,43.47
2023,January,Telangana,Sangareddy,63.0,2348.0,"Khazipally Tank,Khazipally(V), Jinnaram(M), Sangareddy(D) Sangareddy",5.4,7.01,1824.0,8.4,46,12.5,286,120.0,0.4,1180,25.0,12.88,29.63,41.04
2023,January,Telangana,Sangareddy,64.0,4243.0,"Isnapur Tank,Pashamylaram(V), Patancheru (M), Sangareddy District",5.6,7.54,2323.0,8.3,32,9.6,412,92.0,0.4,1277,25.0,12.89,29.73,43.23
2023,January,Telangana,Sangareddy,65.0,4302.0,"Rudraram Tank, Rudraram (V), Patancheru (M), Sangareddy District",7,7.41,1724.0,10,22,11.2,280,108.0,0.4,1020,25.0,18.83,29.67,38.32
2023,January,Telangana,Sangareddy,66.0,4240.0,"Muthangi Tank (V), Patancheru (M),Sangareddy district",7.7,8.25,1063.0,5.8,20,6.7,191,64.0,0.4,700,25.0,24.41,38.17,41.76
2023,January,Telangana,Sangareddy,67.0,4241.0,"Chitkul Tank,Chitkul (V), Patancheru (M), Sangareddy District",6.2,8.48,1515.0,4.7,26,5.4,268,52.0,0.4,907,25.0,12.95,38.49,43.08
2023,January,Telangana,Sangareddy,68.0,4242.0,"Lakadaram Cheruvu, Lakdaram (V), Patancheru (M),Sangareddy District.",7.1,8.26,1303.0,5.8,21,6.7,245,64.0,0.4,786,25.0,24.41,38.17,41.94
2023,January,Telangana,RR-shamshabad,70.0,1789.0,"Himayathsagar lake, Shamshabad",6,7.84,564.0,1.4,1.2,4.6,66,8.0,0.4,344,25.0,30.04,100.0,100.0
2023,January,Telangana,Medchal Malkajgiri,71.0,3069.0,"Shameerpet Tank, Shameerpet(V&M), Medchal- malkajigiri(D)",5.4,7.7,625.0,2,1.4,3.8,66,12.0,0.64,394,25.0,24.82,60.65,100.0
2023,January,Telangana,Medchal Malkajgiri,72.0,3078.0,"Pragathinagar cheruvu,Pragathinagar(V), Kukatpally, Medchal-malkajigiri(D)",1.8,7.87,1038.0,5.4,3.6,23,122,51.0,2.82,634,25.0,18.84,29.72,38.59
2023,January,Telangana,Medchal Malkajgiri,73.0,2340.0,"Lakshminarayana cheruvu at Edulabad, Ghatkesar, Medchal District",3.8,7.7,1565.0,3,4.2,9.6,188,27.0,1.42,970,25.0,18.92,30.6,50.02
2023,January,Telangana,RR-shamshabad,74.0,1788.0,"Large Tank, Saroornagar (V & M), Rangareddy District",0.3,7.92,1273.0,14,3.5,22,152,147.0,1.98,776,25.0,18.8,29.51,34.17
